1,1,1,0,0,1,0,1,17,0,0.4516129,0,0.7931035,0.902439,0.8125,1.12037,1
1,0,0,1,1,1,1,0,0,0,0,9,0.0909,0.7391304,0.8695652,6,2
1,0,0,0,1,1,1,0,0,0,3,0,4.421052,0.2588235,1.636364,4.111111,3
1,1,0,0,0,0,0,0,0,0,0.7391304,0,18.54839,1.022727,0.9491525,0.3466667,4
1,1,0,1,0,1,0,0,0,0,0.375,1,0,1.228261,1.333333,1.265625,5
0,1,0,0,0,1,0,0,0,0,2.333333,0,13.64516,1.186813,1.391304,0.4310345,6
1,1,1,0,0,1,0,1,16.5,0,0.4482759,2,1.851852,0.5140845,0.2857143,1.660377,7
1,1,1,1,0,0,0,0,0,0,1.928571,0,0.0435,1.771429,2.666667,0.75,8
0,1,1,0,0,1,0,2,9.5,23.5,1.5,1,2.516129,0.9041096,1.157143,1.378788,9
1,1,0,1,0,0,0,1,11.5,0,2.5,1,0,1.985075,4.333333,0.56,10
1,1,0,0,0,1,0,1,17,0,0.9032258,1,16,0.1513158,1,1.2,1
1,1,0,1,1,1,1,0,0,0,0,11,0,0.5208333,0.65,1,2
1,0,1,0,0,0,0,0,0,0,0,11,4.714286,0.5887097,0.6049383,1.489796,3
1,1,0,0,0,0,0,0,0,0,1.454545,4,6.206897,1.363636,1.190476,0.775,4
1,1,0,1,0,1,1,1,14,0,0.6818182,1,0,0.8165138,1.608696,0.8076923,5
0,1,0,0,0,1,0,0,0,0,1.818182,0,19.92593,0.6826347,1.042253,1.393443,6
1,0,1,0,1,1,1,0,0,0,0.5,0,24.16129,0.4011976,0.4270833,1.44,7
1,1,1,1,0,0,0,0,0,0,2.25,0,0,1.878788,2.8,1,8
1,1,0,0,0,1,0,2,9,22,1.190476,1,1,0.9602649,1.179104,3.333333,9
1,1,0,1,0,0,0,1,11,0,2.818182,0,0,2.489796,7.375,0.4148936,10
1,1,1,0,0,1,0,1,17,0,0.8108108,1,11.52381,0.4497355,0.8125,1.202247,1
1,1,1,1,1,1,1,0,0,0,0,0,0,0.34,1.666667,0.7090909,2
1,0,1,0,0,0,0,0,0,0,0,13,0,0.780303,0.8850574,5.388889,3
1,1,0,0,0,0,0,0,0,0,2.3,0,5.851852,1.37931,0.9830508,0.5897436,4
1,1,0,1,0,1,0,0,0,0,0.2272727,1,0.9032258,0.8153846,1.266667,0.972973,5
0,1,0,0,0,1,0,0,0,0,0.625,3,9.210526,0.1714286,2.25,0.8387097,6
1,0,1,0,1,1,1,1,24.5,0,0.5769231,1,5.419355,0.4316547,0.375,1.789474,7
1,1,1,1,0,0,0,0,0,0,2.272727,0,0,2.183333,3.392857,0.46,8
1,0,0,0,0,1,0,1,9,0,0.7142857,2,1.318182,1.252101,1.071429,1.405063,9
1,1,1,1,0,0,0,1,7.5,0,0.8571429,1,0,2.508197,2.75,0.9591837,10
1,1,0,0,0,1,0,1,17,0,1.16,1,2.555556,0.5314685,1.761905,1.277778,1
1,1,1,1,1,1,1,0,0,0,0,21,0.2580645,0.9333333,1,0.7169811,2
1,0,1,0,0,0,0,0,0,0,1.692308,0,0.0833,0.7241379,0.6792453,2.34375,3
1,0,0,0,0,0,0,0,0,0,0,13,6.148148,0.902439,1.027397,0.5542169,4
1,1,0,1,0,1,0,0,0,0,0.4230769,1,0.1290323,1.158537,1.28,1.226415,5
